codneg,iq,tipo,adm,urendrs,urendpercent,urenddatapag,urenddatabase,rendmed12rs,rendmed12percent,ppc,cvp,nnegmed,ifix,ncotistas,patrimonio
ABCP11,Geral,Tijolo: Shoppings,Rio Bravo Investimentos,0.49,0.47000000000000003,2020-03-06,2020-02-28,0.5,0.48000000000000004,85.03,1.23,6092,1.59,21909,1037662546.93
ALMI11,Geral,Tijolo: Escritórios,BTG Pactual,0.37,NA,2017-04-13,2017-03-31,0,NA,1985.1299999999999,0,931,0.26,4241,220701251.41
ALZR11,Geral,Tijolo: Híbrido,BTG Pactual,0.59,0.46,2020-02-21,2020-02-14,0.56,0.43000000000000005,94.66,1.37,17359,0.42000000000000004,39624,270802753.57
ANCR11B,Geral,Tijolo: Shoppings,Geração Futuro Corretora de Valores,33.849999999999994,1.28,2019-11-25,2019-10-31,8.44,0.32,3454.56,0.77,2,0,56,1558394971.56
AQLL11,Investidor Qualificado,Papel: Fundo de Fundos,FOCO DTVM,0,NA,NA,NA,0,NA,1504.7,0,3,0,37,147794657.94
ARFI11B,Investidor Qualificado,Tijolo: Galpões,FOCO DTVM,0,NA,NA,NA,0,NA,1220.99,0,2,0,29,139259333.37
ARRI11,Geral,Papel: CRIs,Oliveira Trust,0.28,0.3,2020-03-06,2020-02-28,0.1,0.11,94.88,1,677,0,1891,37230338.63
ATCR11,Investidor Qualificado,Tijolo: Escritórios,RJI CTVM LTDA,0.09,NA,2020-01-09,2019-12-30,0.03,NA,75.86999999999999,0,0,0,33,70478890.74000001
ATSA11,Geral,Tijolo: Shoppings,Hedge Investments DTVM LTDA,0.25,0.18,2020-03-13,2020-02-28,0.3,0.22,111.44000000000001,1.23,68,0,194,191135103.81
BARI11,Investidor Qualificado,Papel: CRIs,Oliveira Trust,0.71,0.6599999999999999,2020-03-20,2020-02-28,0.69,0.65,99.93,1.07,5621,0.32,4865,223264062.08
BBFI11B,Geral,Tijolo: Escritórios,BTG Pactual,27.16,1.12,2020-03-13,2020-02-28,25.32,1.05,3150.8300000000004,0.77,2221,0.43000000000000005,6636,409607752.71
BBIM11,Investidor Qualificado,Papel: CRIs,BB Gestão de Recursos,0.6799999999999999,NA,2020-03-13,2020-02-28,0.65,NA,72.81,0,0,0,20,75356541.63
BBPO11,Geral,Tijolo: Bancário,Votorantim Asset Management,1.06,0.6599999999999999,2020-03-13,2020-02-28,1.04,0.65,102.17999999999999,1.57,32508,3.3499999999999996,66161,1626618827.01
BBRC11,Geral,Tijolo: Bancário,Votorantim Asset Management,0.92,0.62,2020-03-13,2020-02-28,0.93,0.63,110.43,1.34,2038,0.29000000000000004,7222,175590021.62
BBVJ11,Geral,Tijolo: Escritórios,Votorantim Asset Management,0.32999999999999996,0.61,2019-01-09,2018-12-28,0,0,57.57,0.9400000000000001,1572,0.22,2129,156006766.67
BCFF11,Geral,Papel: Fundo de Fundos,BTG Pactual,0.53,0.54,2020-03-13,2020-03-06,0.55,0.56,91.69,1.07,130246,2.4699999999999998,162562,1885496925.95
BCIA11,Geral,Papel: Fundo de Fundos,Banco Bradesco,1,0.49,2020-03-27,2020-02-28,1.28,0.62,138.76,1.47,7482,0.41000000000000003,5392,234457207.91
BCRI11,Geral,Papel: CRIs,BRL Trust DTVM,1.04,0.91,2020-03-13,2020-02-28,0.8500000000000001,0.75,105.33,1.08,10363,0.63,22329,263336592.54
BICR11,Geral,Papel: CRIs,Inter DTVM,0.33999999999999997,0.3,2020-03-13,2020-02-28,0.23,0.2,100.56,1.12,1386,0,997,50279710.230000004
BMII11,Geral,Tijolo: Escritórios,Rio Bravo Investimentos,0.23,NA,2019-08-07,2019-07-31,0.09,NA,503.36,0,0,0,12,70469816.13
BMLC11B,Geral,Tijolo: Escritórios,BTG Pactual,0.53,0.5,2020-03-13,2020-03-06,0.43000000000000005,0.41000000000000003,94.06,1.12,611,0.13,1790,93906205.5
BNFS11,Geral,Tijolo: Bancário,Oliveira Trust,0.8600000000000001,0.6699999999999999,2020-03-13,2020-02-28,0.89,0.69,95.58,1.35,1029,0,1761,66908327.53
BPFF11,Geral,Papel: Fundo de Fundos,Geração Futuro Corretora de Valores,0.75,0.63,2020-03-06,2020-02-28,0.77,0.65,102.01,1.1600000000000001,4297,0.7899999999999999,9850,272242397.8
BPML11,Investidor Qualificado,Tijolo: Shoppings,BTG Pactual,0.6,0.5,2020-02-21,2020-02-14,0.07,0.06,101.34,1.1800000000000002,132,0,230,436293999.25
BPRP11,Investidor Qualificado,Tijolo: Galpões,BTG Pactual,0.76,0.77,2020-03-13,2020-03-06,0.43000000000000005,0.44,103.66,0.9500000000000001,1,0,66,139922018.48000002
BRCO11,Geral,Tijolo: Galpões,Oliveira Trust,0.55,0.42000000000000004,2020-03-06,2020-02-28,0.09,0.07,95.91000000000001,1.35,24978,0,9566,1205283984.1
BRCR11,Geral,Tijolo: Escritórios,BTG Pactual,0.56,0.52,2020-03-13,2020-03-06,0.53,0.5,110.11,0.98,108748,3.11,93036,2523633169.73
BREV11,Investidor Qualificado,Tijolo: Escritórios,BR-CAPITAL,0.48000000000000004,0.44,2020-03-13,2020-03-05,0.08,0.07,108.13,1.02,1,0,23,67337723.84
BRHT11B,Investidor Qualificado,Tijolo: Hotéis,BNY Mellon,0.8600000000000001,NA,2014-07-14,2014-06-30,0,NA,85.72,0,0,0,11,157860282.23999998
BTCR11,Geral,Papel: CRIs,BTG Pactual,0.61,0.61,2020-03-13,2020-03-06,0.61,0.61,97.14999999999999,1.03,6820,0.65,6200,467323471.76
BTLG11,Geral,Tijolo: Galpões,BTG Pactual,0.6,0.55,2020-02-21,2020-02-14,0.45,0.41000000000000003,100.77,1.08,7634,0.43000000000000005,19122,341058328.98999995
BVAR11,Geral,Tijolo: Varejo,Rio Bravo Investimentos,6.619999999999999,NA,2020-02-28,2020-02-14,8.450000000000001,NA,1207.36,0,0,0,69,755250402.2800001
BZLI11,Investidor Qualificado,Híbrido (Tijolo/Papel),FOCO DTVM,0,NA,NA,NA,0,NA,11.860000000000001,0,163,0,34,418854137.52
CARE11,Geral,Tijolo: Outros,Planner Corretora de Valores,0,NA,NA,NA,0,NA,1.4,0,7786,0.19,6226,249657925.39000002
CBOP11,Geral,Tijolo: Escritórios,Credit Suisse Hedging-Griffo,0.49,0.55,2020-03-13,2020-02-28,0.5,0.56,85.57,1.05,1479,0.17,4086,121084978.09
CEOC11,Geral,Tijolo: Escritórios,BTG Pactual,0.56,0.6,2020-03-13,2020-03-06,0.56,0.6,98.29,0.9500000000000001,4023,0.21000000000000002,6909,178455907.79
CNES11,Geral,Tijolo: Escritórios,BTG Pactual,0.18,0.21000000000000002,2020-02-27,2020-02-18,0.18,0.21000000000000002,95.78,0.89,1185,0.29000000000000004,3142,282487658.88
CPFF11,Geral,Papel: Fundo de Fundos,Vórtx DTVM LTDA,0.58,0.58,2020-03-13,2020-03-06,0.1,0.1,98.25,1.02,29875,0,10115,235810253.83
CPTS11B,Investidor Qualificado,Papel: CRIs,BTG Pactual,0.65,0.6,2020-02-14,2020-01-31,0.69,0.64,98.07,1.1,23550,0.6,14259,305484992.96999997
CRFF11,Geral,Papel: Fundo de Fundos,Caixa Econômica Federal,0.7,0.6599999999999999,2020-03-11,2020-03-02,0.41000000000000003,0.38,103.42,1.03,880,0,1228,71365626.28
CTXT11,Geral,Tijolo: Outros,Rio Bravo Investimentos,0.38,0.6699999999999999,2020-03-09,2020-02-28,0.37,0.65,53.309999999999995,1.07,1578,0.2,3755,138305434.47
CVBI11,Geral,Papel: CRIs,BRL Trust DTVM,0.73,0.73,2020-03-17,2020-03-10,0.36,0.36,100.16,1,9429,0,3453,353256645.7
CXCE11B,Geral,Tijolo: Escritórios,Caixa Econômica Federal,20.12,0.7799999999999999,2020-03-13,2020-02-28,19.84,0.77,2154.24,1.2,319,0.23,1294,147604215.79
CXRI11,Geral,Papel: Fundo de Fundos,Caixa Econômica Federal,8.5,0.58,2020-03-11,2020-03-02,11.38,0.77,1119.1,1.32,896,0.28,1845,176343450.14
CXTL11,Geral,Tijolo: Galpões,Caixa Econômica Federal,1.08,0.28,2020-03-13,2020-02-28,0.99,0.26,767.87,0.51,67,0,579,41155777.47
DAMT11B,Geral,Tijolo: Shoppings,Banco Modal S.A.,0,NA,NA,NA,0,NA,1.32,0,3,0,51,128602819.13
DMAC11,Investidor Qualificado,Tijolo: Desenvolvimento,Oliveira Trust,3.4499999999999997,0.73,2020-03-16,2020-03-06,5.07,1.07,802.22,0.59,292,0,417,125233548.33
DOMC11,Geral,Tijolo: Escritórios,Monetar DTVM,5.33,NA,2016-05-10,2016-05-02,0,NA,989.9399999999999,0,243,0,1161,241921029.5
DOVL11B,Investidor Qualificado,Tijolo: Escritórios,BNY Mellon,4.84,NA,2020-02-21,2020-02-13,5.319999999999999,NA,1247.04,0,1,0,52,74156566.07
DRIT11B,Geral,Tijolo: Escritórios,Rio Bravo Investimentos,0.7,0.38,2020-03-13,2020-03-05,0.61,0.32999999999999996,131.32000000000002,1.42,50,0,290,60837063.08
EDFO11B,Geral,Tijolo: Escritórios,Oliveira Trust,1.52,0.56,2020-03-10,2020-02-28,1.6500000000000001,0.61,203.08,1.33,178,0,670,47926286.2
EDGA11,Geral,Tijolo: Escritórios,BTG Pactual,0.19,0.36,2020-02-28,2020-02-19,0.2,0.39,78.66,0.6599999999999999,3949,0.21000000000000002,6915,299846534.55
ELDO11B,Geral,Tijolo: Shoppings,Rio Bravo Investimentos,4.3,NA,2020-03-19,2020-03-11,6.7,NA,1162.52,0,0,0,61,915197494.2900001
ERPA11,Investidor Qualificado,Tijolo: Escritórios,Oliveira Trust,0,NA,NA,NA,0,NA,99.51,0,0,0,3,19746573.09
EURO11,Geral,Tijolo: Galpões,COINVALORES,0.7,0.38,2020-03-17,2020-02-28,1.1400000000000001,0.61,306.38,0.61,575,0.08,1905,117628890.78
FAED11,Geral,Tijolo: Educacional,BTG Pactual,1.58,0.61,2020-03-13,2020-03-06,1.55,0.6,204.99,1.27,3574,0.19,5486,131637576.09
FAMB11B,Geral,Tijolo: Escritórios,BTG Pactual,28.43,1.05,2020-03-12,2020-02-28,29.330000000000002,1.09,3463.67,0.7799999999999999,1121,0.38,3851,362992370.01
FCFL11,Geral,Tijolo: Educacional,BTG Pactual,0.58,0.43000000000000005,2020-02-21,2020-02-14,0.58,0.43000000000000005,106.03,1.28,3888,0.54,3944,354135717.25
FEXC11,Geral,Papel: CRIs,BTG Pactual,0.7,0.63,2020-03-13,2020-03-06,0.73,0.6599999999999999,99.61,1.12,5682,0.29000000000000004,8284,243394017.93
FIGS11,Geral,Tijolo: Shoppings,Hedge Investments DTVM LTDA,0.39,0.48000000000000004,2020-03-13,2020-02-28,0.63,0.76,98.51,0.8300000000000001,13122,0.27,18515,280758413.47999996
FIIB11,Geral,Tijolo: Galpões,COINVALORES,2.8,0.51,2020-03-10,2020-02-28,2.67,0.49,421.08,1.3,3648,0.47000000000000003,17715,288440659.45
FIIP11B,Geral,Tijolo: Galpões,Oliveira Trust,0.8600000000000001,0.42000000000000004,2020-03-13,2020-02-28,1.22,0.6,195.39000000000001,1.03,1617,0.22,6260,181154745.81
FINF11,Investidor Qualificado,Tijolo: Galpões,Planner Corretora de Valores,0.32999999999999996,NA,2020-03-06,2020-02-28,0.13,NA,143.47,0,0,0,4,117664642.86
FISC11,Geral,Tijolo: Escritórios,Corretora Geral de Valores e Cambio,5.609999999999999,NA,2019-12-31,2019-07-15,0.47000000000000003,NA,1621.2,0,1,0,67,252006402.9
FISD11,Investidor Qualificado,Papel: CRIs,RJI CTVM LTDA,0,NA,NA,NA,0,NA,88.34,0,1,0,25,94755005.77
FIVN11,Geral,Tijolo: Shoppings,Oliveira Trust,0,NA,NA,NA,0,NA,8.68,0,2814,0,1697,81735780.52
FLMA11,Geral,Tijolo: Escritórios,BR-CAPITAL,0.01,0.32,2020-03-13,2020-03-05,0.01,0.4,2.9,1.28,42849,0.32999999999999996,56547,200067577.4
FLRP11,Geral,Tijolo: Shoppings,BTG Pactual,13.52,0.8600000000000001,2020-02-28,2020-02-19,7.18,0.46,1595.55,0.99,162,0.12000000000000001,929,95437560.5
FMOF11,Geral,Tijolo: Escritórios,COIN DTVM,0.27,0.25,2020-01-17,2019-12-30,0.1,0.09,130.94,0.8400000000000001,123,0,357,66517549.29000001
FOFT11,Geral,Papel: Fundo de Fundos,Hedge Investments DTVM LTDA,1.1500000000000001,1.03,2019-12-13,2019-11-29,0.7,0.62,104.98,1.06,7069,0,3055,125562421.95
FPAB11,Geral,Tijolo: Escritórios,COIN DTVM,1.7,0.42000000000000004,2020-03-13,2020-02-28,1.92,0.47000000000000003,413.85,0.98,219,0.41000000000000003,1010,310388204.41999996
FPNG11,Geral,Tijolo: Escritórios,BR-CAPITAL,0.32999999999999996,NA,2020-03-13,2020-03-05,0.55,NA,161.46,0,1,0,50,143055627.39000002
FTCE11B,Investidor Qualificado,Híbrido (Tijolo/Papel),BNY Mellon,164.66,NA,2019-12-04,2019-12-03,20.310000000000002,NA,2408.38,0,3,0,57,1901373586.21
FVBI11,Geral,Tijolo: Escritórios,BTG Pactual,0.63,0.41000000000000003,2020-03-06,2020-02-28,0.49,0.32,159.76,0.97,2433,0.45,4416,343481339.63
FVPQ11,Geral,Tijolo: Shoppings,Rio Bravo Investimentos,0.8700000000000001,0.41000000000000003,2020-03-09,2020-02-28,1.1800000000000002,0.56,214.48000000000002,0.99,3338,0.33999999999999997,5429,600578628.62
GESE11B,Investidor Qualificado,Tijolo: Educacional,Oliveira Trust,8.98,NA,2020-03-13,2020-02-28,13.9,NA,1327.57,0,0,0,54,69033895
GGRC11,Geral,Tijolo: Galpões,CM Capital Markets,0.73,0.53,2020-03-09,2020-03-02,0.72,0.52,118.57,1.1600000000000001,34520,1.11,67063,771059468.1800001
GRLV11,Geral,Tijolo: Galpões,Credit Suisse Hedging-Griffo,0.64,0.5,2020-03-13,2020-02-28,0.6699999999999999,0.52,131.51,0.98,3088,0.19,2467,141176542.01
GSFI11,Geral,Tijolo: Shoppings,Planner Corretora de Valores,0,NA,NA,NA,0,NA,9.209999999999999,0,2474,0.29000000000000004,2669,630667402.3199999
GTWR11,Geral,Tijolo: Escritórios,Votorantim Asset Management,0.69,0.59,2020-03-13,2020-02-28,0.72,0.61,98.24000000000001,1.1900000000000002,22515,1.87,10906,1178822340.74
HABT11,Geral,Papel: CRIs,Vórtx DTVM LTDA,0.8,0.69,2020-03-12,2020-02-28,0.47000000000000003,0.41000000000000003,101.86999999999999,1.1400000000000001,19095,0.56,9370,390033056.56
HBTT11,Geral,Papel: CRIs,Vórtx DTVM LTDA,11,0.8600000000000001,2020-03-13,2020-02-28,10.5,0.8200000000000001,1065.83,1.2,44,0,125,192078053.76999998
HCRI11,Geral,Tijolo: Hospital,BTG Pactual,2.65,0.62,2020-02-20,2020-02-13,2.56,0.6,291.77,1.47,660,0.11,2895,58354753.28
HCTR11,Geral,Papel: CRIs,Vórtx DTVM LTDA,1.92,1.58,2020-03-13,2020-03-06,0.93,0.76,114.96000000000001,1.06,7299,0.37,3674,123248895.39
HFOF11,Geral,Papel: Fundo de Fundos,Hedge Investments DTVM LTDA,0.7,0.6,2020-03-13,2020-02-28,0.91,0.7899999999999999,109.33,1.06,40235,2.23,32230,1232868433.1899998
HGBS11,Geral,Tijolo: Shoppings,Hedge Investments DTVM LTDA,1.4,0.5,2020-03-13,2020-02-28,1.45,0.52,240.43,1.1700000000000002,42336,3.48,57016,2404321609.92
HGCR11,Geral,Papel: CRIs,Credit Suisse Hedging-Griffo,0.6,0.53,2020-03-13,2020-02-28,0.69,0.61,106.27,1.07,57408,1.82,57909,1314826409.3899999
HGFF11,Geral,Papel: Fundo de Fundos,Credit Suisse Hedging-Griffo,0.6,0.54,2020-03-13,2020-02-28,0.3,0.26,107.74000000000001,1.04,13732,0.43000000000000005,3964,193923115.58
HGLG11,Geral,Tijolo: Galpões,Credit Suisse Hedging-Griffo,0.7799999999999999,0.44,2020-03-13,2020-02-28,0.77,0.43000000000000005,135.85000000000002,1.31,88552,2.57,170510,1614142884.24
HGPO11,Geral,Tijolo: Escritórios,Credit Suisse Hedging-Griffo,0.89,0.41000000000000003,2020-03-13,2020-02-28,0.8500000000000001,0.4,203.41,1.06,3874,0.45,8446,335624474.55
HGRE11,Geral,Tijolo: Escritórios,Credit Suisse Hedging-Griffo,0.74,0.41000000000000003,2020-03-13,2020-02-28,0.77,0.43000000000000005,163.28,1.1,63799,2.3699999999999997,84488,1765373422.84
HGRU11,Geral,Tijolo: Educacional,Credit Suisse Hedging-Griffo,0.6799999999999999,0.52,2020-03-13,2020-02-28,0.69,0.53,107.99000000000001,1.2,85945,1.6,34386,1051925197.3499999
HLOG11,Investidor Qualificado,Tijolo: Galpões,Hedge Investments DTVM LTDA,0.63,0.49,2020-03-13,2020-02-28,0.25,0.19,111.56,1.1500000000000001,203,0,151,172923912.58
HMOC11,Geral,Tijolo: Shoppings,Hedge Investments DTVM LTDA,1.27,0.5,2020-03-13,2020-02-28,1.28,0.51,213.54,1.1800000000000002,44,0,261,81577130.66
HOSI11,Geral,Tijolo: Outros,Vórtx DTVM LTDA,0,NA,NA,NA,0,NA,0,NA,532,0,0,0
HPDP11,Investidor Qualificado,Tijolo: Shoppings,Hedge Investments DTVM LTDA,0.2,0.19,2020-03-13,2020-02-28,0.11,0.11,97.27,1.08,287,0,106,273217980.64000005
HRDF11,Investidor Qualificado,Tijolo: Desenvolvimento,Hedge Investments DTVM LTDA,0,NA,NA,NA,0,NA,2.04,0,3296,0,259,15442214.12
HSML11 ,Geral,Tijolo: Shoppings,Santander Securities Services Brasil DTVM,0.6,0.52,2020-03-06,2020-02-28,0.36,0.31,96.16,1.2,83846,2.16,71115,1517517090.72
HTMX11,Geral,Tijolo: Hotéis,BTG Pactual,0.71,0.45,2020-03-06,2020-02-28,0.8300000000000001,0.53,146.54,1.07,5777,0.14,20854,184198566.67
HUSC11,Geral,Tijolo: Hospital,Rio Bravo Investimentos,0.42000000000000004,0.27,2019-07-15,2019-06-28,0.04,0.02,98.79,1.57,115,0,414,71305709.42
HUSI11,Geral,Tijolo: Hospital,Planner Corretora de Valores,0,NA,NA,NA,0,NA,893.26,0,0,0,1,9182744.870000001
IBFF11,Geral,Papel: Fundo de Fundos,BTG Pactual,0.7,0.72,2020-03-17,2020-03-10,0.28,0.29000000000000004,95.98,1.02,2351,0,2882,63990980.160000004
IRDM11,Geral,Papel: CRIs,BTG Pactual,0.9500000000000001,0.77,2020-03-17,2020-03-10,0.89,0.73,99.98,1.23,37053,1.3,42192,726917420.59
JPPA11,Geral,Papel: CRIs,Vórtx DTVM LTDA,0.7,0.63,2020-03-13,2020-02-28,0.26,0.24000000000000002,106.21000000000001,1.05,30,0,103,53695038.660000004
JPPC11,Geral,Tijolo: Desenvolvimento,Banco Finaxis,5.98,1.49,2020-03-13,2020-02-28,10.719999999999999,2.67,494.13,0.81,4,0,77,27176984.919999998
JRDM11,Geral,Tijolo: Shoppings,BTG Pactual,0.4,0.39,2020-03-13,2020-03-06,0.48000000000000004,0.47000000000000003,90.51,1.12,4627,0.32,6345,228341214.2
JSRE11,Geral,Híbrido (Tijolo/Papel),Banco J. Safra,0.44,0.38,2020-03-20,2020-02-28,0.56,0.48000000000000004,115.39,1.01,49963,3.09,43317,1597604630.9
JTPR11,Geral,Tijolo: Desenvolvimento,Planner Corretora de Valores,1.2,NA,2019-04-15,2019-03-29,0.1,NA,124.45,0,0,0,7,26716643.610000003
KFOF11,Geral,Papel: Fundo de Fundos,INTRAG DTVM,0.54,0.43000000000000005,2020-03-13,2020-02-28,0.55,0.43000000000000005,122.85,1.02,4759,0,4287,442083632.32
KINP11,Investidor Qualificado,Tijolo: Desenvolvimento,INTRAG DTVM,0.15000000000000002,1.11,2020-01-15,2019-12-30,0.03,0.21000000000000002,10.139999999999999,1.36,112,0,193,72494041.6
KNCR11,Geral,Papel: CRIs,INTRAG DTVM,0.41000000000000003,0.4,2020-03-12,2020-02-28,0.54,0.52,104.94000000000001,0.98,72734,4.859999999999999,65282,4102988567.56
KNHY11,Investidor Qualificado,Papel: CRIs,INTRAG DTVM,0.9,0.7799999999999999,2020-03-12,2020-02-28,0.75,0.6599999999999999,109.86999999999999,1.04,3074,1.28,3973,861831328.72
KNIP11,Investidor Qualificado,Papel: CRIs,INTRAG DTVM,0.8,0.6799999999999999,2020-03-12,2020-02-28,0.73,0.62,114.91000000000001,1.02,82089,5.25,21423,3769403712.34
KNRE11,Investidor Qualificado,Tijolo: Desenvolvimento,INTRAG DTVM,0.26,3.92,2019-11-14,2019-10-31,0.06,0.8600000000000001,4.49,1.47,4438,0.15000000000000002,6215,83294011.64
KNRI11,Geral,Tijolo: Híbrido,INTRAG DTVM,0.74,0.43000000000000005,2020-03-13,2020-02-28,0.74,0.43000000000000005,150.76999999999998,1.1300000000000001,92225,5.25,176423,3558360265.46
